,No.,Player,PronounsMere Info  PronounsInterested in learning more about pronouns? Click here.,Position,Year,Height,Points,Assists,Ds,Turns,team_name,level,gender,division
0,1,Nima Lhamo,,Cutter,College (JR),"6'0""",5.0,2.0,2.0,2.0,Massachusetts,Division 1,Men,Division 1 Men
1,4,Ethan Lieman,,,College (FR),"8'2""",16.0,11.0,,4.0,Massachusetts,Division 1,Men,Division 1 Men
2,6,Roan Dunkerley,,,,,4.0,,,4.0,Massachusetts,Division 1,Men,Division 1 Men
3,7,Ian Buchanan,,,,,,1.0,,2.0,Massachusetts,Division 1,Men,Division 1 Men
4,8,Tomo Liou,,Defense (Cutter),College (SO),"5'8""",3.0,,,2.0,Massachusetts,Division 1,Men,Division 1 Men
5,10,Wyatt Kellman,H,Handler,College (SO),"5'11""",9.0,20.0,4.0,2.0,Massachusetts,Division 1,Men,Division 1 Men
6,11,Charlie Norris,,Defense (Cutter/Handler),High School (11th Grade),"5'8""",,1.0,1.0,,Massachusetts,Division 1,Men,Division 1 Men
7,12,Wesley Killough-Hill,,Mid,College (SO),"6'0""",2.0,,,,Massachusetts,Division 1,Men,Division 1 Men
8,13,Calan Kirkpatrick,,,Elementary School (3rd grade),"5'10""",,,1.0,4.0,Massachusetts,Division 1,Men,Division 1 Men
9,15,Arthur Aucoin,,,,,3.0,6.0,1.0,,Massachusetts,Division 1,Men,Division 1 Men
10,16,Nadav Berkman,,,,"6'0""",2.0,2.0,1.0,1.0,Massachusetts,Division 1,Men,Division 1 Men
11,18,Sam Green,,,College (FR),"6'4""",1.0,,1.0,,Massachusetts,Division 1,Men,Division 1 Men
12,21,Mason Stone,H,,High School (12th Grade),"6'3""",2.0,3.0,7.0,5.0,Massachusetts,Division 1,Men,Division 1 Men
13,27,Caelan McSweeney,,,,"4'3""",2.0,4.0,,5.0,Massachusetts,Division 1,Men,Division 1 Men
14,30,Charlie Leightheiser,,Handler,College (FR),"5'10""",,4.0,,2.0,Massachusetts,Division 1,Men,Division 1 Men
15,37,Gavin Abrahamsson,,Handler,High School (12th Grade),"5'11""",9.0,2.0,2.0,1.0,Massachusetts,Division 1,Men,Division 1 Men
16,38,Leo Narbonne,,Handler,High School (9th Grade),,,,,,Massachusetts,Division 1,Men,Division 1 Men
17,39,Carter Hawkins,,,,,3.0,5.0,1.0,1.0,Massachusetts,Division 1,Men,Division 1 Men
18,43,Ethan Schiff,H,,,,3.0,,1.0,1.0,Massachusetts,Division 1,Men,Division 1 Men
19,63,Jonathan Coombs,H,,,,2.0,,1.0,,Massachusetts,Division 1,Men,Division 1 Men
